Tide Gauge Name,Latitude,Longitude,Start Year,End Year,Mean Amplitude (cm),Minimum Amplitude (cm),Maximum Amplitude (cm),Std of Amplitude (cm),Ratio: Mean/Max,Trends Post-1970 (mm/yr),Significant,Phase Mean (degrees),Phase Circular Std (degrees),ENSO,SigENSO,NAO,SigNAO,AMO,SigAMO,PDO,SigPDO,,,,,
'ARENA_COVE__CALIFORNIA',38.91,-123.71,1980,2017,6.88,5.04,8.72,0.78,0.79,-0.26,NaN,312.69,16.29,3.47,1,-0.03,NaN,0.34,NaN,1.95,1,,,,,
'PORT_ANGELES__WASHINGTON',48.13,-123.44,1978,2017,9.40,5.76,13.82,1.91,0.68,-0.51,NaN,6.40,7.74,4.78,1,-4.87,1,6.13,1,3.82,1,,,,,
'BLUFF__SOUTHLAND_HARBOUR_',-46.60,168.35,1920,2016,1.99,0.53,3.22,0.61,0.62,NaN,NaN,122.09,57.25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,
'GOTEBORG_RINGON',57.72,11.97,1889,1956,9.62,4.87,15.85,2.22,0.61,NaN,NaN,274.67,11.96,0.74,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,
'TUAPSE',44.10,39.07,1919,2016,7.51,2.17,12.09,1.82,0.62,-0.35,NaN,149.13,16.98,1.79,NaN,-3.62,1,2.87,NaN,-0.50,NaN,,,,,
'PORT_PIRIE',-33.18,138.01,1943,2016,4.48,1.66,7.51,1.15,0.60,0.37,1,167.75,18.45,0.49,NaN,1.22,NaN,3.35,1,1.76,NaN,,,,,
'BELFAST_2',54.60,-5.92,1920,1961,7.22,4.76,10.58,0.94,0.68,NaN,NaN,313.38,19.00,-0.35,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,
'HOEK_VAN_HOLLAND',51.98,4.12,1866,2016,7.25,3.48,11.01,1.42,0.66,-0.06,NaN,289.31,20.14,0.77,NaN,0.65,NaN,-1.74,NaN,-1.77,NaN,,,,,
'WELLINGTON_HARBOUR',-41.28,174.78,1947,2016,2.70,0.17,5.52,1.08,0.49,0.05,NaN,104.28,32.04,-1.62,NaN,0.03,NaN,-0.64,NaN,-4.07,1,,,,,
'QUEQUEN',-38.58,-58.70,1920,1980,7.58,3.59,10.22,1.12,0.74,NaN,NaN,69.72,13.04,-3.42,1,-2.60,1,0.71,NaN,-2.92,1,,,,,
'LEWES__BREAKWATER_HARBOR_',38.78,-75.12,1921,2017,6.74,2.58,10.69,1.54,0.63,0.64,1,225.67,10.25,-1.16,NaN,3.39,1,-1.84,NaN,-3.03,1,,,,,
'KETCHIKAN',55.33,-131.63,1921,2017,10.97,7.54,14.72,1.42,0.75,0.00,NaN,346.63,9.68,2.37,NaN,-4.27,1,6.29,1,4.43,1,,,,,
'IQUIQUE_II',-20.20,-70.15,1987,2016,3.12,0.28,5.26,1.08,0.59,0.45,NaN,77.93,25.61,-0.16,NaN,-3.81,1,3.54,1,-2.27,1,,,,,
'BEAUFORT__NORTH_CAROLINA',34.72,-76.67,1975,2017,8.06,4.45,11.04,1.52,0.73,0.87,1,245.08,8.95,-3.10,1,3.01,1,-2.50,1,-4.42,1,,,,,
'DEN_HELDER',52.96,4.75,1867,2016,9.46,5.67,13.79,1.56,0.69,-0.30,NaN,297.45,15.18,0.98,NaN,0.86,NaN,-2.98,1,-1.40,NaN,,,,,
'PORT_LINCOLN',-34.72,135.87,1967,2016,8.49,5.71,11.30,1.01,0.75,0.12,NaN,174.76,11.00,-1.45,NaN,2.72,1,0.57,NaN,1.08,NaN,,,,,
'BRUNSWICK_HEADS',-28.54,153.55,1988,2016,6.44,3.12,8.58,1.00,0.75,0.72,1,123.66,6.12,0.75,NaN,1.06,NaN,-1.18,NaN,-2.46,1,,,,,
'PORT_MACQUARIE',-31.43,152.91,1988,2016,5.84,3.40,8.03,1.03,0.73,0.47,NaN,149.30,9.38,1.13,NaN,1.20,NaN,-0.61,NaN,-0.19,NaN,,,,,
'LEWISETTA__VIRGINIA',38.00,-76.47,1973,2017,9.35,5.86,12.93,1.40,0.72,0.57,1,216.11,7.98,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,
'CHARLESTON_I',32.78,-79.93,1924,2017,9.00,5.32,13.10,1.38,0.69,0.49,NaN,252.63,9.81,-2.90,1,2.83,1,-4.83,1,-5.54,1,,,,,
'BOSTON',42.35,-71.05,1923,2017,3.38,0.97,6.35,1.16,0.53,0.53,1,214.66,17.16,0.64,NaN,0.95,NaN,0.35,NaN,-0.45,NaN,,,,,
'SYDNEY_PORT_JACKSON',-33.83,151.26,1990,2016,3.90,2.00,6.00,1.01,0.65,0.75,1,139.43,16.97,0.49,NaN,0.40,NaN,-0.26,NaN,1.08,NaN,,,,,
'WEST_TERSCHELLING',53.36,5.22,1923,2016,10.28,5.71,14.56,1.64,0.71,-0.37,NaN,299.45,14.47,-1.12,NaN,2.07,NaN,-3.52,1,-2.14,NaN,,,,,
'TURKU___ABO',60.43,22.10,1924,2016,12.03,0.56,23.55,4.31,0.51,-1.98,1,297.01,24.92,-5.92,1,8.12,1,-9.00,1,-3.45,NaN,,,,,
'DELFZIJL',53.33,6.93,1867,2016,8.44,2.93,13.51,2.07,0.62,-0.45,1,289.13,19.89,-1.55,NaN,1.82,NaN,-4.31,1,-1.56,NaN,,,,,
'LOS_ANGELES',33.72,-118.27,1926,2017,6.63,4.43,8.68,0.73,0.76,0.31,1,263.48,9.38,3.80,1,2.15,1,-3.00,1,1.41,NaN,,,,,
'PENSACOLA',30.40,-87.21,1925,2017,9.45,6.16,12.65,1.37,0.75,0.59,1,228.01,7.02,-2.77,1,-1.09,NaN,-1.34,NaN,-2.80,1,,,,,
'PORT_LYTTELTON',-43.61,172.72,1925,2016,2.82,1.05,5.41,0.92,0.52,0.73,1,84.19,17.92,-1.62,1,1.83,1,-1.40,NaN,-1.34,NaN,,,,,
'FOGLO___DEGERBY',60.03,20.38,1926,2016,11.35,0.64,20.47,3.92,0.55,-1.78,1,300.43,24.93,-9.62,1,6.54,1,-8.27,1,-5.23,NaN,,,,,
'HARLINGEN',53.18,5.41,1867,2016,9.54,4.23,14.40,1.93,0.66,-0.38,NaN,294.91,18.70,-0.36,NaN,2.11,NaN,-3.91,1,-2.87,NaN,,,,,
'DOVER',51.11,1.32,1963,2015,6.45,4.86,9.27,0.62,0.70,-0.03,NaN,293.07,7.36,1.28,NaN,-0.09,NaN,1.93,1,1.48,NaN,,,,,
'LA_JOLLA__SCRIPPS_PIER_',32.87,-117.26,1927,2017,7.11,5.20,9.63,0.78,0.74,0.34,1,261.67,10.64,3.30,1,2.09,1,-2.68,1,1.01,NaN,,,,,
'PONTA_DELGADA',37.74,-25.67,1980,2016,4.98,2.57,7.57,1.11,0.66,0.12,NaN,276.37,14.96,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,
'LYTTELTON_II',-43.61,172.72,1926,1998,3.15,0.20,6.32,1.25,0.50,-0.61,NaN,82.56,22.41,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,
'JOLO__SULU',6.07,121.00,1950,1994,3.72,1.55,5.87,0.93,0.63,0.14,NaN,231.11,16.44,-0.06,NaN,-0.44,NaN,2.52,1,1.93,1,,,,,
'ASTORIA__TONGUE_POINT_',46.21,-123.77,1927,2017,10.17,3.77,16.80,2.50,0.61,-0.70,1,36.69,14.71,4.88,1,-3.74,1,5.85,1,6.53,1,,,,,
'SEWARD',60.12,-149.43,1966,2017,12.68,8.78,15.96,1.58,0.79,0.49,NaN,324.16,9.32,4.23,1,-2.23,NaN,4.25,1,5.53,1,,,,,
'NEWCASTLE_III',-32.92,151.80,1927,1986,4.54,1.49,6.95,1.13,0.65,NaN,NaN,117.89,14.09,0.56,NaN,-2.17,1,0.45,NaN,-0.17,NaN,,,,,
'MACAU',22.20,113.55,1927,1982,10.08,7.71,12.72,1.08,0.79,NaN,NaN,285.93,9.54,-5.40,1,-2.31,NaN,1.28,NaN,-1.98,NaN,,,,,
'UTO',59.78,21.37,1868,1934,10.84,4.76,16.75,2.56,0.65,NaN,NaN,284.80,14.95,4.76,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,
'RUSSARO',59.77,22.95,1868,1934,10.57,4.05,16.95,2.81,0.62,NaN,NaN,285.01,18.15,6.09,1,NaN,NaN,NaN,NaN,NaN,NaN,,,,,
'DURBAN',-29.87,31.05,1973,2016,2.24,0.20,4.67,1.13,0.48,-0.25,NaN,28.34,39.57,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,
'KASKINEN___KASKO',62.34,21.21,1929,2016,12.34,1.25,22.15,4.37,0.56,-1.76,1,307.01,24.10,-9.34,1,7.54,1,-8.43,1,-6.08,1,,,,,
'IMMINGHAM',53.63,-0.19,1962,2016,6.75,5.16,8.87,0.61,0.76,0.14,NaN,296.84,8.84,-0.05,NaN,-0.35,NaN,0.17,NaN,2.20,1,,,,,
'SEAVEY_ISLAND',43.08,-70.74,1929,1983,2.45,0.42,4.65,1.05,0.53,NaN,NaN,190.41,26.91,1.80,NaN,0.22,NaN,1.74,1,1.60,NaN,,,,,
'PIONERSKY',54.95,20.22,1928,1984,11.73,4.89,18.87,3.09,0.62,NaN,NaN,276.08,16.27,-2.21,NaN,1.42,NaN,-5.87,1,4.70,1,,,,,
'SODERSKAR',60.12,25.42,1868,1934,11.15,4.13,16.49,2.41,0.68,NaN,NaN,280.91,17.24,4.94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,
'SEWELLS_POINT__HAMPTON_ROADS',36.95,-76.33,1930,2017,6.66,2.38,10.85,1.52,0.61,0.74,1,231.85,10.24,-2.43,NaN,3.35,1,-4.55,1,-4.06,1,,,,,
'SHEERNESS',51.45,0.74,1834,2015,4.80,1.56,6.78,1.02,0.71,0.34,1,279.99,11.52,2.87,1,0.55,NaN,0.73,NaN,2.05,NaN,,,,,
'HILO___HAWAII_ISLAND',19.73,-155.06,1929,2017,4.42,1.76,7.76,1.10,0.57,-0.09,NaN,277.59,10.97,1.07,NaN,-3.98,1,0.24,NaN,1.07,NaN,,,,,
'TREGDE',58.01,7.55,1930,2017,8.56,5.85,12.22,1.15,0.70,-0.13,NaN,298.31,10.25,0.35,NaN,-0.19,NaN,-0.83,NaN,-0.41,NaN,,,,,
'SANTA_CRUZ_DE_TENERIFE_I',28.48,-16.24,1929,1988,5.97,4.54,7.59,0.65,0.79,NaN,NaN,235.49,4.95,0.23,NaN,1.24,1,-0.09,NaN,-0.66,NaN,,,,,
'NEDRE_SODERTALJE',59.20,17.62,1871,1968,9.45,0.70,16.48,3.01,0.57,NaN,NaN,283.53,15.57,1.28,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,
'YAMBA',-29.43,153.36,1988,2016,6.25,3.61,8.69,1.09,0.72,0.91,1,128.83,6.57,-0.73,NaN,2.95,1,-0.47,NaN,-1.30,NaN,,,,,
'ANNAPOLIS__NAVAL_ACADEMY_',38.98,-76.48,1931,2017,10.89,7.74,14.92,1.67,0.73,1.10,1,211.52,5.57,-0.24,NaN,0.15,NaN,1.55,NaN,-1.05,NaN,,,,,
'NARVIK',68.43,17.43,1930,2017,13.99,9.85,19.52,1.94,0.72,-0.20,NaN,325.44,11.01,0.57,NaN,3.91,1,-4.97,1,2.10,NaN,,,,,
'HEIMSJO',63.43,9.10,1930,2017,13.61,10.14,17.17,1.54,0.79,-0.06,NaN,322.85,9.19,0.91,NaN,1.90,NaN,-2.32,NaN,2.41,NaN,,,,,
'STORNOWAY',58.21,-6.39,1979,2016,10.48,6.27,13.39,1.37,0.78,-0.65,1,321.41,9.27,0.16,NaN,1.79,NaN,-2.82,1,-0.87,NaN,,,,,
'MAYPORT',30.39,-81.43,1930,1998,10.69,6.57,14.12,1.59,0.76,-0.93,1,274.10,8.53,-3.76,1,0.40,NaN,-2.08,NaN,-7.45,1,,,,,
'BOURGAS',42.48,27.48,1931,1994,7.85,1.64,13.40,2.12,0.59,-0.42,NaN,142.31,18.17,1.65,NaN,-5.28,1,7.22,1,2.82,1,,,,,
'VARNA',43.18,27.92,1931,1994,7.32,1.76,11.54,1.90,0.63,-1.09,NaN,141.74,19.68,0.92,NaN,-4.59,1,5.79,1,0.95,NaN,,,,,
'IJMUIDEN',52.46,4.55,1873,2016,8.60,4.40,12.96,1.62,0.66,-0.29,NaN,290.57,15.09,-0.19,NaN,0.60,NaN,-2.93,1,-2.27,NaN,,,,,
'KLAGSHAMN',55.52,12.89,1932,2016,6.89,0.53,12.40,2.76,0.56,-1.03,1,281.38,20.82,-6.40,1,0.83,NaN,-2.18,NaN,-4.22,1,,,,,
'TAKORADI',4.88,-1.75,1931,2010,5.92,1.60,11.78,1.59,0.50,-0.51,NaN,22.73,11.65,-0.57,NaN,-1.37,NaN,3.23,1,0.68,NaN,,,,,
'NORTH_POINT',22.30,114.20,1931,1983,11.62,9.63,14.41,1.13,0.81,NaN,NaN,302.04,6.88,-4.49,1,-3.67,1,0.96,NaN,-1.57,NaN,,,,,
'SOUTHEND',51.51,0.72,1935,2013,5.22,1.57,7.35,1.07,0.71,NaN,NaN,286.34,12.12,-0.21,NaN,-1.04,NaN,0.04,NaN,0.47,NaN,,,,,
'TRONDHEIM',63.43,10.43,1947,1987,11.25,7.03,16.90,2.13,0.67,NaN,NaN,312.15,7.85,-0.84,NaN,2.93,NaN,-2.80,NaN,2.74,NaN,,,,,
'PORTSMOUTH',50.80,-1.11,1963,2016,6.11,3.99,8.22,0.96,0.74,0.16,NaN,300.57,11.58,4.25,1,1.73,NaN,-0.02,NaN,2.89,1,,,,,
'NEWPORT',41.51,-71.33,1933,2017,5.63,3.53,8.99,1.13,0.63,0.55,1,228.24,7.64,1.55,NaN,2.63,1,-1.70,NaN,-0.10,NaN,,,,,
'SPLIT___GRADSKA_LUKA',43.51,16.44,1956,2016,4.42,0.34,8.12,1.69,0.54,0.17,NaN,323.98,31.26,3.17,1,-2.09,NaN,1.17,NaN,1.24,NaN,,,,,
'BAKAR',45.30,14.53,1932,2011,4.42,0.31,9.19,1.84,0.48,0.30,NaN,316.15,34.57,1.27,NaN,-1.90,NaN,1.92,NaN,1.19,NaN,,,,,
'MERA',34.92,139.83,1933,2016,8.20,5.65,11.78,1.07,0.70,0.00,NaN,261.76,6.82,0.77,NaN,0.92,NaN,-0.91,NaN,0.91,NaN,,,,,
'ABERDEEN_I',57.14,-2.08,1933,2016,9.07,5.60,12.57,1.24,0.72,0.01,NaN,313.80,9.10,-0.47,NaN,0.54,NaN,-1.52,NaN,1.49,NaN,,,,,
'WILLETS_POINT',40.79,-73.78,1934,1998,6.84,4.04,9.09,0.97,0.75,-0.29,NaN,215.35,8.65,-0.65,NaN,2.05,NaN,-3.09,1,-0.71,NaN,,,,,
'SANDY_HOOK',40.47,-74.01,1935,2017,7.35,4.45,11.07,1.39,0.66,0.81,1,214.36,8.14,-0.14,NaN,2.96,1,-1.21,NaN,-1.11,NaN,,,,,
'WOODS_HOLE__OCEAN__INST__',41.52,-70.67,1935,2017,5.29,2.86,8.14,1.05,0.65,0.49,1,230.49,8.97,0.32,NaN,3.73,1,-2.05,1,0.12,NaN,,,,,
'ST__GEORGES___ESSO_PIER__BERMUDA_',32.37,-64.70,1935,2017,7.15,0.33,11.43,2.17,0.63,0.95,1,268.57,14.29,-4.20,1,-0.81,NaN,1.50,NaN,-7.67,1,,,,,
'THESSALONIKI',40.63,22.93,1971,2016,5.31,0.46,11.68,2.25,0.45,0.43,NaN,245.05,15.49,0.78,NaN,0.63,NaN,1.56,NaN,0.05,NaN,,,,,
'PIRAIEVS',37.94,23.63,1971,2016,6.83,3.05,11.75,1.60,0.58,0.36,NaN,249.77,15.53,0.22,NaN,0.08,NaN,1.02,NaN,-0.88,NaN,,,,,
'KAVALLA',40.93,24.41,1971,2007,5.83,0.67,15.75,2.62,0.37,0.93,1,237.53,57.88,-4.98,1,-0.20,NaN,-1.55,NaN,0.14,NaN,,,,,
'RAUMA___RAUMO',61.13,21.43,1935,2016,11.76,0.94,21.87,4.12,0.54,-1.84,1,301.98,24.77,-11.90,1,7.43,1,-8.45,1,-11.03,1,,,,,
'SANTA_MONICA__MUNICIPAL_PIER_',34.01,-118.50,1935,2017,6.73,3.72,10.80,1.04,0.62,0.25,NaN,260.59,11.59,2.24,1,1.55,NaN,-3.54,1,0.68,NaN,,,,,
'CRESCENT_CITY',41.75,-124.18,1935,2017,7.52,2.92,11.61,1.71,0.65,-0.61,1,338.02,13.90,2.69,1,-6.38,1,5.38,1,2.80,1,,,,,
'CONSTANTZA',44.17,28.67,1935,1995,7.20,1.65,11.81,2.13,0.61,-1.30,NaN,129.69,17.02,1.80,NaN,-7.03,1,9.85,1,-0.83,NaN,,,,,
'NEAH_BAY',48.37,-124.61,1937,2017,12.73,8.34,17.38,2.08,0.73,-0.34,NaN,5.74,7.66,0.69,NaN,-6.68,1,7.01,1,2.66,NaN,,,,,
'VENEZIA__S_STEFANO_',45.42,12.33,1874,1918,4.03,0.39,8.73,1.53,0.46,NaN,NaN,273.20,25.04,-1.24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,
'PORT_AUX_BASQUES',47.57,-59.13,1961,2016,2.83,1.10,5.39,0.89,0.53,-0.25,1,337.91,21.56,0.61,NaN,1.70,NaN,-1.66,NaN,1.33,1,,,,,
'ST__JOHN_S__NFLD_',47.57,-52.72,1938,2016,9.40,6.21,12.30,1.09,0.76,-0.26,NaN,345.80,11.01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,
'CEBU',10.30,123.92,1937,2016,7.99,5.35,10.41,0.93,0.77,0.18,NaN,218.92,7.58,-0.90,NaN,-2.85,NaN,5.19,1,0.77,NaN,,,,,
'FORT_PULASKI',32.03,-80.90,1937,2017,9.76,6.21,13.73,1.34,0.71,0.48,NaN,253.04,9.04,-3.55,1,2.38,NaN,-3.17,1,-6.37,1,,,,,
'WILMINGTON',34.23,-77.95,1937,2017,5.21,0.34,9.73,1.94,0.54,1.09,1,229.76,17.57,-5.45,1,4.34,1,-4.94,1,-6.51,1,,,,,
'SASSNITZ',54.51,13.64,1938,2016,6.99,0.67,12.27,2.73,0.57,-1.22,1,280.43,22.23,-6.36,1,3.65,NaN,-1.97,NaN,-3.80,1,,,,,
'KJOLSDAL',61.92,5.63,1937,1986,12.38,5.44,18.35,2.42,0.67,NaN,NaN,306.84,8.95,-0.61,NaN,-0.26,NaN,-5.52,1,-2.48,NaN,,,,,
'PORTSMOUTH__NORFOLK_NAVY_YARD_',36.82,-76.29,1937,1984,6.28,3.62,9.13,1.10,0.69,NaN,NaN,239.29,8.82,-5.17,1,2.10,NaN,-3.18,1,-5.15,1,,,,,
'JUNEAU',58.30,-134.41,1938,2017,8.48,4.46,13.69,1.64,0.62,0.59,1,318.08,14.49,1.80,NaN,-3.69,NaN,6.46,1,0.31,NaN,,,,,
'UCHIURA',35.02,138.89,1946,2016,9.54,5.80,12.40,1.36,0.77,-0.43,1,247.58,5.37,1.52,NaN,-0.75,NaN,-2.09,NaN,0.15,NaN,,,,,
'KHIOS',38.37,26.14,1971,2013,3.84,0.24,8.39,1.95,0.46,1.04,1,263.93,44.11,1.74,NaN,1.10,NaN,3.23,1,-0.76,NaN,,,,,
'POSIDHONIA',37.95,22.96,1971,2016,4.85,1.32,10.04,1.88,0.48,0.50,NaN,259.43,27.61,3.62,1,-1.23,NaN,4.66,1,2.45,NaN,,,,,
'POTI',42.17,41.68,1876,2015,8.97,0.13,15.90,3.11,0.56,-0.87,1,156.51,18.79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,
'PREVEZA',38.96,20.76,1971,2016,4.99,2.12,9.52,1.71,0.52,0.11,NaN,296.72,21.83,1.69,NaN,0.24,NaN,0.61,NaN,0.80,NaN,,,,,
'KALAMAI',37.02,22.12,1971,2015,6.59,4.15,9.83,1.55,0.67,0.73,1,278.68,10.57,4.35,1,2.37,1,1.83,1,3.36,1,,,,,
'SOLOMON_S_ISLAND__BIOL__LAB__',38.32,-76.45,1940,2017,9.60,6.60,12.13,1.07,0.79,0.42,1,215.75,6.04,-2.92,1,2.65,1,-0.88,NaN,-3.43,1,,,,,
'OOSTENDE',51.23,2.92,1939,2015,6.65,3.54,9.11,0.93,0.73,0.22,NaN,292.46,8.97,-0.18,NaN,-1.01,NaN,-1.47,NaN,0.12,NaN,,,,,
'VISAKHAPATNAM',17.68,83.28,1939,2011,17.00,13.38,20.58,1.55,0.83,-0.50,1,267.36,6.22,-4.49,1,-3.64,1,1.21,NaN,3.72,1,,,,,
'GUANTANAMO_BAY',19.91,-75.15,1939,1969,6.20,4.75,7.58,0.72,0.82,NaN,NaN,256.67,13.58,1.52,1,NaN,NaN,NaN,NaN,NaN,NaN,,,,,
'SEVASTOPOL',44.62,33.53,1912,1992,8.22,3.54,12.34,1.52,0.67,-0.88,NaN,146.37,18.04,2.47,1,-5.24,1,6.45,1,-0.33,NaN,,,,,
'ANDENES',69.33,16.13,1940,2017,13.66,11.18,17.15,1.34,0.80,NaN,NaN,334.63,6.95,-3.61,1,2.66,NaN,-1.74,NaN,-3.50,1,,,,,
'SITKA',57.05,-135.34,1940,2017,11.73,8.95,14.98,1.34,0.78,0.23,NaN,347.57,7.03,2.74,1,-4.62,1,7.48,1,4.47,1,,,,,
'CHARLOTTETOWN',46.23,-63.12,1913,2016,4.44,2.26,6.40,0.81,0.69,-0.16,1,332.28,19.83,0.24,NaN,0.00,NaN,-0.42,NaN,0.96,NaN,,,,,
'CEDAR_KEY_II',29.14,-83.03,1941,2017,10.71,7.29,14.61,1.52,0.73,0.62,1,220.49,5.52,-0.62,NaN,-0.20,NaN,-0.80,NaN,-2.51,1,,,,,
'NEW_LONDON',41.36,-72.09,1940,2017,5.64,3.28,9.00,1.16,0.63,0.63,1,218.97,7.72,-0.20,NaN,1.96,NaN,-1.57,NaN,-1.05,NaN,,,,,
'MUMBAI___BOMBAY__APOLLO_BANDAR_',18.92,72.83,1880,2013,2.56,0.05,4.93,0.82,0.52,NaN,NaN,59.35,23.01,-2.09,1,1.27,NaN,-1.23,NaN,-1.71,NaN,,,,,
'PROVIDENCE__STATE_PIER_',41.81,-71.40,1940,2017,6.29,4.26,10.10,1.30,0.62,0.77,1,216.63,7.01,1.36,NaN,3.56,1,0.95,NaN,0.12,NaN,,,,,
'MONTEVIDEO__PUNTA_LOBOS_',-34.90,-56.25,1940,2016,6.43,1.32,11.49,1.91,0.56,0.49,NaN,91.22,27.92,-2.87,NaN,0.42,NaN,-0.26,NaN,-6.71,1,,,,,
'DUBLIN',53.35,-6.22,1940,2007,6.38,3.06,9.79,1.32,0.65,0.45,NaN,310.19,19.28,4.17,1,3.45,1,1.01,NaN,4.81,1,,,,,
'COLONIA',-34.48,-57.85,1956,1992,5.80,0.19,9.60,2.28,0.60,NaN,NaN,48.49,23.95,-4.24,NaN,-7.41,1,2.73,NaN,-4.11,1,,,,,
'DOUGLAS',54.15,-4.47,1940,1975,7.20,4.08,10.07,1.30,0.71,NaN,NaN,310.42,10.24,-2.08,NaN,-1.83,NaN,-1.45,NaN,5.49,1,,,,,
'ALAMEDA__NAVAL_AIR_STATION_',37.77,-122.30,1941,2017,3.74,0.36,6.44,0.93,0.58,-0.03,NaN,286.84,28.64,1.87,NaN,2.03,NaN,-3.37,1,0.74,NaN,,,,,
'COCHIN__WILLINGDON_IS__',9.97,76.27,1941,2011,8.45,5.84,11.17,1.04,0.76,0.20,NaN,19.11,6.53,-2.17,1,1.00,NaN,-0.57,NaN,-0.65,NaN,,,,,
'ADEN',12.79,44.97,1881,2011,10.99,8.59,13.37,0.88,0.82,NaN,NaN,74.95,4.29,-2.78,1,NaN,NaN,NaN,NaN,NaN,NaN,,,,,
'EUGENE_ISLAND',29.37,-91.39,1941,1972,8.12,4.55,10.55,1.35,0.77,NaN,NaN,205.67,7.82,-1.68,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,
'FORT_PHRACHULA_CHOMKLAO__POM_PHRACHUN_',13.55,100.58,1942,2016,14.79,10.51,17.77,1.37,0.83,-0.24,NaN,8.36,3.91,-0.60,NaN,-2.78,NaN,1.38,NaN,-1.65,NaN,,,,,
'YAKUTAT',59.55,-139.73,1942,2017,12.29,8.98,15.73,1.43,0.78,0.39,1,335.09,8.67,4.21,1,-4.29,NaN,7.44,1,4.11,1,,,,,
'KO_TAPHAO_NOI',7.83,98.43,1942,2016,9.30,0.25,15.91,3.09,0.58,-0.67,NaN,222.51,14.81,3.01,NaN,1.21,NaN,4.23,1,3.22,NaN,,,,,
'PORT_ADELAIDE__OUTER_HARBOR_',-34.78,138.48,1943,2016,7.67,5.02,11.20,1.24,0.69,0.39,NaN,179.12,11.53,-0.48,NaN,0.23,NaN,3.04,1,1.02,NaN,,,,,
'KO_SICHANG',13.15,100.82,1942,2000,17.27,13.75,19.93,1.59,0.87,-1.37,1,8.86,3.59,1.07,1,1.05,NaN,4.25,1,3.23,NaN,,,,,
'KABELVAG',68.21,14.48,1950,2017,14.67,10.27,19.14,1.65,0.77,0.16,NaN,332.71,9.80,2.25,NaN,1.87,NaN,-2.51,NaN,1.53,NaN,,,,,
'LE_HAVRE',49.48,0.11,1940,2016,6.31,3.36,9.76,1.28,0.65,0.39,1,301.17,13.42,3.70,1,0.28,NaN,-1.27,NaN,1.61,NaN,,,,,
'CALAIS',50.97,1.87,1943,2016,7.62,3.81,10.80,1.36,0.71,NaN,NaN,297.02,10.27,3.12,1,0.22,NaN,-1.03,NaN,-0.51,NaN,,,,,
'ST__NAZAIRE',47.27,-2.20,1943,2016,5.11,0.26,8.73,1.91,0.58,NaN,NaN,350.63,17.05,4.43,1,0.79,NaN,-0.60,NaN,1.93,NaN,,,,,
'CHERBOURG',49.65,-1.64,1976,2016,6.97,4.47,9.58,1.21,0.73,0.11,NaN,298.88,9.90,4.76,1,1.47,NaN,-1.67,NaN,0.97,NaN,,,,,
'DUNKERQUE',51.05,2.37,1944,2016,7.52,4.68,13.58,1.46,0.55,NaN,NaN,295.80,7.55,3.93,1,-1.03,NaN,-2.17,1,1.65,NaN,,,,,
'ST_JEAN_DE_LUZ__SOCOA_',43.40,-1.68,1945,2015,3.81,0.50,6.53,1.48,0.58,0.49,1,297.95,30.76,1.08,NaN,-1.40,NaN,-0.07,NaN,0.45,NaN,,,,,
'STAVANGER',58.97,5.73,1921,2017,10.21,6.49,13.03,1.18,0.78,-0.02,NaN,307.00,11.63,1.10,NaN,-0.06,NaN,-0.54,NaN,0.55,NaN,,,,,
'ZEEBRUGGE',51.35,3.20,1945,2015,7.07,4.88,9.44,0.81,0.75,0.03,NaN,291.15,8.70,2.89,1,-1.35,NaN,-0.88,NaN,1.07,NaN,,,,,
'BOULOGNE',50.73,1.58,1944,2016,8.50,6.59,11.16,1.12,0.76,NaN,NaN,302.58,14.65,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,
'DIEPPE',49.93,1.08,1956,2016,6.79,2.72,10.81,1.93,0.63,NaN,NaN,300.87,18.87,5.24,1,0.64,NaN,1.11,NaN,1.27,NaN,,,,,
'VIGO',42.24,-8.73,1945,2016,4.85,1.42,9.81,1.73,0.49,-0.38,NaN,338.86,26.13,2.04,NaN,0.41,NaN,-1.02,NaN,1.97,NaN,,,,,
'LA_CORUNA_I',43.37,-8.40,1945,2016,4.42,1.66,8.48,1.22,0.52,-0.04,NaN,322.04,23.16,1.19,NaN,-0.89,NaN,0.12,NaN,2.75,1,,,,,
'SANTANDER_I',43.46,-3.79,1945,2016,4.89,1.63,7.19,1.12,0.68,0.19,NaN,310.08,17.83,4.47,1,-1.52,NaN,-1.22,NaN,4.25,1,,,,,
